date,vehicle,id,payload,mass(t),site,orbit
11/14/10,Proton M/Briz M ,P361,Skyterr,5.36,TB 200/39, GTO+
12/05/10,Proton M/DM-03,P362,3xGlona,4.245,TB 81/24,[FTO] [9]
12/26/10,Proton M/Briz M ,P363,KA-SAT ,6.15,TB 200/39, GTO+
05/20/11,Proton M/Briz M   ,P364,Telstar 14R,5.0,TB 200/39, GTO+
07/15/11,Proton M/Briz M   ,P365,SES-3/Kazsat 2,4.382,TB 200/39,GTO/GEO[3]
08/17/11,Proton M/Briz M   ,P366,Express AM4,5.775,TB 200/39,[EEO][5]
09/20/11,Proton M/Briz M   ,P367,Kosmos 2473 (Gar,          ,TB 81/24, GTO
09/29/11,Proton M/Briz M   ,P368,QuetzSat 1,5.514,TB 200/39, GTO
10/19/11,Proton M/Briz M   ,P369,ViaSat 1,6.74,TB 200/39, GTO
11/04/11,Proton M/Briz M   ,P370,3xGlonass-M,4.245,TB 81/24, MEO
11/25/11,Proton M/Briz M   ,P371,AsiaSat 7,3.813,TB 200/39, GTO+
12/11/11,Proton M/Briz M   ,P372,Luch 5A/Amos 5,2.73,TB 81/24, GTO+
02/14/12,Proton M/Briz M  ,P373,SES 4,6.18,TB 200/39, GTO
03/25/12,Proton M/Briz M  ,P374,Intelsat 22,6.199,TB 200/39, GTO+
03/30/12,Proton K/DM-2,P375,Kosmos 2479,2.6,TB 81/24, GEO
04/23/12,Proton M/Briz M  ,P376,Yahsat 1B,6.05,TB 200/39, GTO+
05/17/12,Proton M/Briz M  ,P377,Nimiq 6,4.5,TB 81/24, GEO
07/09/12,Proton M/Briz M  ,P378,SES 5,6.01,TB 81/24, GTO
08/06/12,Proton M/Briz M  ,p379,Telkom 3/Express MD2,2.74,TB 81/24,[EEO][2]
03/26/13,Proton M/Briz M,p38,Satmex 8,5.5,TB 200/39, GTO
04/15/13,Proton M/Briz M,p38,Anik G1,4.9,TB 200/39, GTO
05/14/13,Proton M/Briz M,p38,Eutelsat 3D,5.5,TB 200/39, GTO
06/03/13,Proton M/Briz M,p38,SES 6,6.1,TB 200/39, GTO+
07/02/13,Proton M/DM-03,p38,3xGlonass M,4.245,TB 81/24,[FTO][3]
09/29/13,Proton M/Briz M,P38,Astra 2E,6.02,TB 200/39, GTO
10/14/12,Proton M/Briz M  ,p380,Intelsat 23,2.7,TB 81/24, GEO
11/02/12,Proton M/Briz M  ,p381,Yamal 300K/Luch 5B,2.79,TB 81/24, GEO
11/20/12,Proton M/Briz M  ,P382,Echostar 16,6.65,TB 200/39, GTO
12/08/12,Proton M/Briz M  ,P383,Yamal 402,4.46,TB 200/39,[GTO][5]
10/25/13,Proton M/Briz M,P39,Sirius FM 6,6.00,TB 200/39, GTO
11/11/13,Proton M/Briz M,P39,Raduga 1M,2.3,TB 81/24, GTO+
12/08/13,Proton M/Briz M,P39,Inmarsat 5 F1,6.10,TB 200/39, GTO+
12/26/13,Proton M/Briz M,P39,Express AM5,3.2,TB 81/24, GEO 
06/13/12,Pegasus XL       ,P41,NuStar                ,0.35,KW        , LEO
06/28/13,Pegasus XL     ,P42,IRIS                  ,0.18,Va L1011, LEO/S
09/24/11,Zenit 3SL/DM-SL,SL-39,Atlantic Bird 7,4.60,PO OLP    , GTO+
06/01/12,Zenit 3SL/DMSL,SL33,Intelsat 19,5.6,PO OLP    , GTO
08/19/12,Zenit 3SL/DMSL,SL49,Intelsat 21,5.982,PO OLP    , GTO
12/03/12,Zenit 3SL/DMSL,SL50,Eutelsat 70B,5.25,PO OLP    , GTO
09/17/12,Soyuz 2-1a/Fregat,ST-25,Metop B               ,4.085,TB 31/6, LEO/S
07/13/11,Soyuz 2-1a/Fregat,ST23,6xGlobalstar-2,3.9,TB 31/6, LEO
02/24/11,STS/Discovery     ,STS133,ULF-5,~100.0,KC 39A, LEO/ISS
05/16/11,STS/Endeavour     ,STS134,ULF-6,~100.0,KC 39A, LEO/ISS
02/06/13,Soyuz 2-1a/Freg,t 179,ST26/6xGlobalstar,4.2,TB 31/6, LEO
04/26/13,Soyuz 2-1b/Freg,t 180,Glonass M             ,1.415,PL 43/4, MEO
06/25/13,Soyuz 2-1b/Freg,t 180,VS05/O3b F1,2.8,KO ELS    , MEO
12/19/13,Soyuz 2.1b/Freg,t 181,VS06/Gaia,2.034,KO ELS    , EEO 
02/24/09,Taurus X,T8,OCO                 ,0.407,VA 576E,[FTO] (1)
03/04/11,Taurus XL 3110,T9,Glory           ,0.54,VA 576E,[FTO][2]
09/10/09,H-2B,TF1,HTV 1,16.0,TA Y2, LEO/ISS
04/12/12,Unha (Unha 3),Unha3,Kwangmyongsong 3,0.1,SO        ,[FTO][1]
12/12/12,Unha (Unha 3),Unha3,Kwangmyongsong 3F2,0.1,SO        ,LEO/S[6]
02/07/13,Ariane 5 ECA,VA2,Amazonas 3/Azerspace,9.265,KO 3, GTO
06/05/13,Ariane 5ES,VA2,ATV-4,19.89,KO 3, LEO/ISS
07/25/13,Ariane 5 ECA,VA2,Alphasat XL/Insat 3D,8.77,KO 3, GTO
08/29/13,Ariane 5 ECA,VA2,Eutelsat 25B/Gsat 7,8.96,KO 3, GTO
08/02/12,Ariane 5 ECA,VA208,Intelsat 20/Hylas 2,9.4,KO 3, GTO
10/12/12,Soyuz 2-1b/Fregat,VS03,"IOV-2/Galileo FM3,4",1.4,KO ELS    , MEO
12/02/12,Soyuz 2-1a/Fregat,VS04,Pleiades 1B,0.97,KO ELS    , LEO/S
05/07/13,Vega           ,VV0,ProbaV/VNREDSat1/ESTcu,0.255,KO ZLV    , LEO/S
02/13/12,Vega             ,VV01,LARES/ALMAsat         ,0.42,KO ZLV    , LEO
04/26/13,CZ-2D,Y1,GaoFen 1,        ,JQ 43/603, LEO/S
05/01/13,CZ-3B/E,Y2,Chinasat 11,        ,XC 2, GTO
07/18/11,Zenit 3F/FregatSB,Z2F02,Spektr-R        ,3.66,TB 45/1, EEO
01/20/11,Zenit 3F/FregatSB,Z3F01,Electro-L       ,1.74,TB 45/1, GEO
02/01/13,Zenit 3SL/DMSL,Z3S,Intelsat 27,6.215,PO OLP    ,[FTO][1]
04/20/09,Zenit 3S,Z3SL42,Sircal 1B,3.08,OLP       , GTO+
